시도명,배출방식,시점,사업장배출시설폐기물수,사업장생활폐기물수,생활폐기물수
강원도,기타,2019,217.2,84.2,16.4
강원도,매립,2019,628.8,115.4,1127.6
강원도,소각,2019,160.8,62.0,836.0
강원도,재활용,2019,11334.8,507.6,1752.6
경기도,기타,2019,3278.4,496.8,74.6
경기도,매립,2019,4517.2,149.0,1868.4
경기도,소각,2019,4178.8,896.8,7253.2
경기도,재활용,2019,40401.4,5763.4,9891.6
경상남도,기타,2019,946.2,41.6,0.0
경상남도,매립,2019,3499.6,64.0,1126.2
경상남도,소각,2019,1498.8,144.6,2244.8
경상남도,재활용,2019,22904.8,1587.8,3734.6
경상북도,기타,2019,585.4,245.6,20.4
경상북도,매립,2019,3521.2,133.6,757.6
경상북도,소각,2019,965.6,264.2,2143.4
경상북도,재활용,2019,42113.6,1761.2,1812.8
광주광역시,기타,2019,583.8,21.4,0.0
광주광역시,매립,2019,228.8,18.2,1038.0
광주광역시,소각,2019,96.6,48.0,27.2
광주광역시,재활용,2019,814.8,328.6,1255.2
대구광역시,기타,2019,681.6,56.0,0.0
대구광역시,매립,2019,1102.2,40.4,975.6
대구광역시,소각,2019,159.2,8.0,524.0
대구광역시,재활용,2019,3431.6000000000004,636.0,3636.2
대전광역시,기타,2019,296.2,64.4,27.2
대전광역시,매립,2019,682.4,16.6,418.8
대전광역시,소각,2019,1660.0,37.4,372.2
대전광역시,재활용,2019,1632.4,222.6,1755.2
부산광역시,기타,2019,1435.2,0.0,0.0
부산광역시,매립,2019,1447.6,44.4,198.0
부산광역시,소각,2019,265.6,179.2,842.4
부산광역시,재활용,2019,4870.6,526.4,4861.6
서울특별시,기타,2019,1845.2,156.4,19.0
서울특별시,매립,2019,438.4,16.2,1940.8
서울특별시,소각,2019,457.2,161.6,4330.0
서울특별시,재활용,2019,1865.2,2044.6,11026.2
세종특별자치시,기타,2019,82.8,153.2,34.2
세종특별자치시,매립,2019,258.0,0.0,15.6
세종특별자치시,소각,2019,131.0,16.0,170.0
세종특별자치시,재활용,2019,1991.2,51.0,430.8
울산광역시,기타,2019,243.6,76.4,2.4
울산광역시,매립,2019,1518.0,58.4,309.0
울산광역시,소각,2019,950.4,264.8,961.0
울산광역시,재활용,2019,10800.2,310.0,1262.6
인천광역시,기타,2019,659.6,157.4,0.0
인천광역시,매립,2019,4753.0,137.8,676.2
인천광역시,소각,2019,812.0,793.4,1033.2
인천광역시,재활용,2019,18975.0,1081.8,2118.2
전라남도,기타,2019,622.2,29.0,25.2
전라남도,매립,2019,1532.8,135.6,1393.4
전라남도,소각,2019,551.6,68.2,670.6
전라남도,재활용,2019,72768.0,522.4,1351.2
전라북도,기타,2019,243.6,15.2,77.6
전라북도,매립,2019,1744.6,54.8,627.6
전라북도,소각,2019,634.6,109.0,902.0
전라북도,재활용,2019,13332.6,766.0,1549.0
제주특별자치도,기타,2019,120.8,1.0,0.0
제주특별자치도,매립,2019,120.0,50.6,118.4
제주특별자치도,소각,2019,151.2,242.0,521.2
제주특별자치도,재활용,2019,624.4,255.0,1278.8
충청남도,기타,2019,4031.8,111.6,42.8
충청남도,매립,2019,10250.8,127.8,257.8
충청남도,소각,2019,1491.0,193.4,2006.8
충청남도,재활용,2019,74522.8,636.0,2268.6
충청북도,기타,2019,1248.2,135.8,0.2
충청북도,매립,2019,908.0,2.2,658.0
충청북도,소각,2019,2201.4,146.8,1364.8
충청북도,재활용,2019,12215.6,451.8,1789.2
