시도명,시점,소각시설수,처리량(톤),국비(백만원),지방비(백만원),유지관리비(백만원/년),관리인원,에너지이용(Gcal)
서울특별시,2019,5,713757,61302,314935,66693,315,1535848
서울특별시,2020,5,716241,61302,314935,79500,315,1560095
부산광역시,2019,2,156891,20542,59729,13837,68,333766
부산광역시,2020,2,144250,20542,59729,13859,70,331442
대구광역시,2019,1,81294,8201,55897,9081,49,169238
대구광역시,2020,1,86322,8201,55897,9289,50,187905
인천광역시,2019,9,237647,73816,147244,27308,57,265920
인천광역시,2020,10,246665,74175,147363,29095,133,593313
대전광역시,2019,1,82359,21508,48970,10491,42,222686
대전광역시,2020,1,58426,21508,48970,9748,45,155081
울산광역시,2019,1,276165,54074,49230,11625,90,386717
울산광역시,2020,1,267271,54074,49230,17918,90,395271
세종특별자치시,2019,1,12468,6260,25090,2468,22,23177
세종특별자치시,2020,1,21618,6260,32891,3972,26,25098
경기도,2019,27,1303190,250761,703717,192531,1157,3257606
경기도,2020,30,1591365,308697,824337,211024,1212,3381388
강원도,2019,15,162649,60357,122721,27340,262,247710
강원도,2020,15,173514,60357,122721,29913,281,347701
충청북도,2019,10,219889,88530,162769,25751,227,484037
충청북도,2020,11,276182,147152,243932,32767,232,502816
충청남도,2019,11,317772,62395,122195,53269,258,557202
충청남도,2020,11,275475,62395,122195,53333,257,643472
전라북도,2019,3,141304,23311,18403,14863,102,398656
전라북도,2020,3,144682,61921,82951,16243,108,420331
전라남도,2019,53,129952,57371,92828,26437,358,136502
전라남도,2020,53,134096,57371,92828,31199,364,137270
경상북도,2019,18,230654,157040,134840,42191,345,416141
경상북도,2020,18,320134,157040,134840,50434,358,2466353
경상남도,2019,17,443735,180118,274800,64751,479,900446
경상남도,2020,17,432227,106319,274800,69231,468,940369
제주특별자치도,2019,6,89891,97929,115543,27028,167,183500
제주특별자치도,2020,6,192790,97929,115543,30883,169,550235
